Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/1/2019,WIPRO,EQ,330.85,330.75,332.75,325.4,328.7,326.65,328.07,1513704,4.96603E+13,9567,551152,0.3641
1/2/2019,WIPRO,EQ,326.65,328.8,331.3,323,325.4,325.55,327.22,3308303,1.08253E+14,32302,1441481,0.4357
1/3/2019,WIPRO,EQ,325.55,327,327.95,323.05,324.35,325.5,325.04,3542281,1.1514E+14,63197,1478446,0.4174
1/4/2019,WIPRO,EQ,325.5,324.5,326.85,319.65,324,324.45,323.57,2405278,7.78272E+13,57938,1009598,0.4197
1/7/2019,WIPRO,EQ,324.45,326.1,326.75,322.3,324,324.25,324.38,1903604,6.17487E+13,23556,931174,0.4892
1/8/2019,WIPRO,EQ,324.25,325,327.5,322.6,323.65,325.55,325.07,2084659,6.7765E+13,28665,1160733,0.5568
1/9/2019,WIPRO,EQ,325.55,324.55,332.6,324.55,328.3,329,329.71,3927881,1.29507E+14,57992,1914533,0.4874
1/10/2019,WIPRO,EQ,329,330.8,331.05,323,325.25,325.75,325.55,3099392,1.00901E+14,55931,1511750,0.4878
1/11/2019,WIPRO,EQ,325.75,325.6,329.9,323.5,329.25,328.7,325.82,1598939,5.2097E+13,24376,558503,0.3493
1/14/2019,WIPRO,EQ,328.7,330.05,331.1,311.35,312.5,312.55,317.41,6913323,2.19439E+14,59279,3397785,0.4915
1/15/2019,WIPRO,EQ,312.55,319,332.3,315.05,329.7,329.8,326.14,15070795,4.91526E+14,139494,3801959,0.2523
1/16/2019,WIPRO,EQ,329.8,331.8,339.8,329.05,337,336.55,335.86,9896290,3.32379E+14,107578,2046160,0.2068
1/17/2019,WIPRO,EQ,336.55,337,338.6,331.6,335.45,335.4,335.09,5289184,1.77236E+14,55846,2197929,0.4156
1/18/2019,WIPRO,EQ,335.4,336,347.5,333.4,346.55,346.15,342.26,10091966,3.45405E+14,108031,3137046,0.3108
1/21/2019,WIPRO,EQ,346.15,340,344.9,333.2,336.45,337.8,338.96,15621848,5.29524E+14,136857,3059656,0.1959
1/22/2019,WIPRO,EQ,337.8,336.8,349.6,336,348.25,346.5,342.73,6681724,2.29E+14,86310,1985221,0.2971
